03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:22:01.111       dream.log  INFO REQ 45 GET /static/images/player_096033.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.112       dream.log  WARN REQ 43 404 in 124 μs
03.01.26 20:22:01.112       dream.log  WARN REQ 44 404 in 98 μs
03.01.26 20:22:01.112       dream.log  WARN REQ 45 404 in 89 μs
03.01.26 20:22:01.112       dream.log  INFO REQ 46 GET /static/images/player_095912.png ::1:59160 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.113       dream.log  INFO REQ 47 GET /static/images/player_095778.png ::1:59163 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.113       dream.log  INFO REQ 48 GET /static/images/player_095041.png ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.113       dream.log  INFO REQ 49 GET /static/images/player_095999.png ::1:59161 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.113       dream.log  INFO REQ 50 GET /static/images/player_095259.png ::1:59162 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.113       dream.log  WARN REQ 48 404 in 72 μs
03.01.26 20:22:01.113       dream.log  WARN REQ 49 404 in 95 μs
03.01.26 20:22:01.113       dream.log  WARN REQ 50 404 in 89 μs
03.01.26 20:22:01.114       dream.log  INFO REQ 51 GET /static/images/player_095533.png ::1:59121 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:22:01.114       dream.log  WARN REQ 51 404 in 40 μs
