05.01.26 06:41:12.211                       Running on 0.0.0.0:8000 (http://localhost:8000)
05.01.26 06:41:12.212                       Type Ctrl+C to stop
05.01.26 06:48:39.859       dream.log  INFO REQ 74 GET /%22/static/images/player_095999.png/%22 127.0.0.1:65206 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.859       dream.log  WARN REQ 74 404 in 16 μs
05.01.26 06:48:39.859       dream.log  INFO REQ 75 GET /%22/static/images/player_095533.png/%22 127.0.0.1:65205 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.859       dream.log  WARN REQ 75 404 in 18 μs
05.01.26 06:48:39.860       dream.log  INFO REQ 76 GET /%22/static/images/player_095746.png/%22 127.0.0.1:65206 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.860       dream.log  WARN REQ 76 404 in 15 μs
05.01.26 06:48:39.860       dream.log  INFO REQ 77 GET /%22/static/images/player_095902.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:39.860       dream.log  WARN REQ 77 404 in 10 μs
05.01.26 06:48:59.494       dream.log  INFO REQ 78 GET /boxscore/046-01-34 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:59.497       dream.log  INFO REQ 78 200 in 2554 μs
05.01.26 06:48:59.503       dream.log  INFO REQ 79 GET /static/css/styles.css 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:59.503       dream.log  INFO REQ 80 GET /static/images/team_09.png 127.0.0.1:65206 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
